domain,model,horizon,n_origins,mae_model,mae_baseline,skill
wind,mlp,35,351,2.848568082114076,3.6398290598290597,0.21738959844233563
wind,mlp,36,351,2.8945140357801615,3.8474074074074074,0.24767155404250707
wind,mlp,37,351,3.0699112106657718,4.041566951566952,0.24041559933195233
wind,mlp,38,351,2.9316967726724044,4.277037037037037,0.3145495941967881
wind,mlp,39,351,3.0084192958221645,4.279259259259259,0.2969766229254073
wind,mlp,40,351,3.0143822585550355,4.235242165242166,0.288262125057806
wind,mlp,41,351,3.0547967248257777,4.008404558404558,0.23790209288613795
wind,mlp,42,350,2.895058763886263,3.8541714285714286,0.24885054607980073
wind,mlp,43,350,2.9284226595578238,3.8838000000000004,0.2459903549209992
wind,mlp,44,350,3.019624032983879,3.8398857142857143,0.21361617046314052
wind,mlp,45,350,3.160613290358044,3.863971428571429,0.18202984965482194
wind,mlp,46,350,3.3350243054249864,4.022428571428571,0.17089284590066733
wind,mlp,47,350,3.156205032350768,3.8703428571428566,0.18451539079389867
wind,mlp,48,350,2.9712492463985964,3.904742857142857,0.23906660307647198
wind,ridge,1,352,2.1327674316977987,2.289659090909091,0.0685218423276277
wind,ridge,2,352,2.412078101563495,2.8569886363636363,0.15572709290381415
wind,ridge,3,352,2.514209459509044,2.969971590909091,0.1534567309650734
wind,ridge,4,352,2.6075015838074016,3.1241761363636367,0.16537945685662103
wind,ridge,5,352,2.606923710728488,3.054090909090909,0.14641581134057546
wind,ridge,6,352,2.7625147979992515,3.2537784090909088,0.15098250382358214
wind,ridge,7,352,2.6735396678889853,3.2374431818181817,0.174181748453884
wind,ridge,8,352,2.759009958334605,3.431988636363636,0.19609000767033014
wind,ridge,9,352,2.6997291932054757,3.4388068181818183,0.2149226938450446
wind,ridge,10,352,2.6215311415649007,3.3134659090909095,0.20882507516603654
wind,ridge,11,352,2.623860188761343,3.4072443181818177,0.22991721645558605
wind,ridge,12,352,2.6706271779814483,3.5420738636363636,0.24602724821787614
wind,ridge,13,352,2.8448134857963407,3.6944886363636367,0.22998450778931157
wind,ridge,14,352,2.82307513165407,3.7011647727272727,0.23724683849353878
wind,ridge,15,352,2.843510493580513,3.7579261363636367,0.24332986056717953
wind,ridge,16,352,2.9560527122882543,3.764375,0.21472948038166906
wind,ridge,17,352,2.905089140973509,3.6564204545454544,0.2054827454643332
wind,ridge,18,351,2.8080018636750377,3.521880341880342,0.20269810695049417
wind,ridge,19,351,2.8189809676905706,3.5243874643874644,0.20015009808789364
wind,ridge,20,351,2.87415541404484,3.448034188034188,0.1664365092379002
wind,ridge,21,351,3.0361443743942496,3.569344729344729,0.1493832609013268
wind,ridge,22,351,3.1949941274822224,3.528233618233618,0.09444938368855205
wind,ridge,23,351,2.8864795988585703,3.3898860398860395,0.14850246737037587
wind,ridge,24,351,2.779696579912511,3.4789458689458685,0.20099458726135122
wind,ridge,25,351,2.9355325228656555,3.703105413105413,0.20727816376041885
wind,ridge,26,351,2.851855571576946,3.724472934472934,0.23429284579281717
wind,ridge,27,351,2.8290695535586465,3.717264957264957,0.23893787876767758
wind,ridge,28,351,2.7700538998940822,3.737777777777778,0.2589035345110958
wind,ridge,29,351,2.8772991006307422,3.6527920227920223,0.2123014169223163
wind,ridge,30,351,2.931846413704007,3.7214814814814807,0.21218298994816676
wind,ridge,31,351,2.8016624087725863,3.802165242165242,0.26314028183133187
wind,ridge,32,351,2.873139171563525,3.8619943019943017,0.2560477963212272
wind,ridge,33,351,2.8453734233004835,3.8074643874643876,0.2526854794312644
